"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","304.25","304.50","306.00","301.25","0.37K","-0.33%"
"Nov 07, 2019","305.25","305.50","306.25","299.25","0.48K","-0.57%"
"Nov 06, 2019","307.00","298.25","307.75","298.25","0.36K","2.08%"
"Nov 05, 2019","300.75","299.50","301.50","297.75","0.16K","1.01%"
"Nov 04, 2019","297.75","304.50","306.75","297.25","0.62K","-2.70%"
"Nov 01, 2019","306.00","300.25","307.50","297.25","0.78K","2.94%"
"Oct 31, 2019","297.25","299.00","299.75","296.25","0.36K","0.17%"
"Oct 30, 2019","296.75","297.50","300.75","295.00","0.36K","-1.25%"
"Oct 29, 2019","300.50","296.50","301.00","295.00","0.38K","1.35%"
"Oct 28, 2019","296.50","302.25","302.25","295.00","0.44K","-1.98%"
"Oct 25, 2019","302.50","302.75","305.00","299.50","0.34K","0.08%"
"Oct 24, 2019","302.25","296.25","303.00","296.25","0.25K","1.85%"
"Oct 23, 2019","296.75","297.50","298.25","293.00","0.35K","0.00%"
"Oct 22, 2019","296.75","288.75","300.00","288.25","0.44K","2.86%"
"Oct 21, 2019","288.50","294.25","295.75","287.25","0.59K","-1.95%"
"Oct 18, 2019","294.25","297.00","298.75","293.75","0.32K","-1.51%"
"Oct 17, 2019","298.75","301.50","305.75","297.00","0.33K","-1.24%"
"Oct 16, 2019","302.50","295.25","309.00","295.25","0.94K","2.02%"
"Oct 15, 2019","296.50","297.00","302.00","293.00","0.61K","-0.42%"
"Oct 14, 2019","297.75","289.50","298.00","289.25","0.64K","2.94%"
"Oct 11, 2019","289.25","288.00","291.50","286.50","0.33K","1.22%"
"Oct 10, 2019","285.75","284.00","290.25","284.00","0.43K","0.44%"
"Oct 09, 2019","284.50","282.50","285.00","281.00","0.28K","0.00%"
"Oct 08, 2019","284.50","281.00","284.50","281.00","0.18K","1.07%"
"Oct 07, 2019","281.50","287.50","288.50","280.50","0.40K","-1.57%"
"Oct 04, 2019","286.00","286.75","293.75","285.75","0.63K","-0.35%"
"Oct 03, 2019","287.00","283.50","289.00","282.00","0.94K","1.50%"
"Oct 02, 2019","282.75","280.75","284.00","279.00","0.38K","0.27%"
"Oct 01, 2019","282.00","275.75","282.50","275.25","0.38K","2.27%"
"Sep 30, 2019","275.75","271.50","276.75","270.00","0.28K","2.13%"
"Sep 27, 2019","270.00","270.75","272.00","269.50","0.16K","-0.09%"
"Sep 26, 2019","270.25","272.75","272.75","269.00","0.40K","-0.73%"
"Sep 25, 2019","272.25","274.25","275.00","272.00","0.30K","-0.46%"
"Sep 24, 2019","273.50","279.00","279.25","271.00","0.54K","-2.23%"
"Sep 23, 2019","279.75","277.25","281.00","275.00","0.48K","1.45%"
"Sep 20, 2019","275.75","276.25","277.75","275.25","0.16K","-0.36%"
"Sep 19, 2019","276.75","278.00","278.00","272.25","0.78K","-0.36%"
"Sep 18, 2019","277.75","281.25","281.50","277.25","0.31K","-1.24%"
"Sep 17, 2019","281.25","280.00","281.75","278.50","0.57K","0.09%"
"Sep 16, 2019","281.00","281.00","283.75","278.25","0.29K","0.72%"
"Sep 13, 2019","279.00","281.70","285.70","277.80","-","-1.34%"
"Sep 12, 2019","282.80","279.80","282.90","279.80","-","1.11%"
"Sep 11, 2019","279.70","274.70","282.20","269.00","-","1.78%"
"Sep 10, 2019","274.80","269.60","275.10","269.60","-","1.89%"
"Sep 09, 2019","269.70","268.30","269.70","267.60","-","-2.37%"
"Sep 06, 2019","276.25","275.25","275.25","275.25","0.00K","3.08%"
"Sep 05, 2019","268.00","267.30","268.10","265.40","-","1.52%"
"Sep 04, 2019","264.00","259.00","259.00","259.00","0.00K","-0.64%"
"Sep 03, 2019","265.70","269.60","270.10","265.50","-","1.32%"
"Aug 30, 2019","262.25","268.75","269.00","254.00","0.01K","-6.42%"
"Aug 29, 2019","280.25","267.50","283.75","267.50","0.01K","10.33%"
"Aug 28, 2019","254.00","254.25","269.00","246.50","0.03K","-0.88%"
