,Date,Price,Open,High,Low,Vol.,Change %,direction
952,2017-04-10,63.33,63.5,63.52,63.12,2350.0,0.0,0
953,2017-04-07,63.33,63.7,63.85,63.23,3740.0,-0.0092,-1
954,2017-04-06,63.92,63.9,64.0,63.38,3720.0,0.004699999999999999,1
955,2017-04-05,63.62,63.77,63.9,63.42,4750.0,-0.0008,-1
956,2017-04-04,63.67,64.8,64.95,63.58,4450.0,-0.0174,-1
957,2017-04-03,64.8,65.55,65.97,64.72,4230.0,-0.0132,-1
958,2017-03-31,65.67,65.88,65.88,64.85,4240.0,0.0008,1
959,2017-03-30,65.62,65.17,65.95,64.67,7440.0,0.0049,1
960,2017-03-29,65.3,65.5,65.83,64.7,5230.0,0.0031,1
961,2017-03-28,65.1,66.03,66.12,65.03,5420.0,-0.0084,-1
962,2017-03-27,65.65,67.05,67.08,65.58,7220.0,-0.0242,-1
963,2017-03-24,67.28,69.35,69.42,67.12,11340.0,-0.0298,-1
964,2017-03-23,69.35,68.38,69.62,67.6,16470.0,0.0176,1
965,2017-03-22,68.15,68.22,68.72,67.92,9330.0,0.0022,1
966,2017-03-21,68.0,68.78,68.88,67.72,12390.0,-0.0095,-1
967,2017-03-20,68.65,69.12,69.28,68.3,12320.0,-0.0058,-1
968,2017-03-17,69.05,69.5,69.78,68.78,13120.0,-0.012199999999999999,-1
969,2017-03-16,69.9,70.38,70.42,69.38,12890.0,-0.0026,-1
970,2017-03-15,70.08,70.5,70.78,69.8,15580.0,-0.0106,-1
971,2017-03-14,70.83,70.42,71.28,70.0,19770.0,0.0087,1
972,2017-03-13,70.22,68.4,70.3,68.08,27480.0,0.0301,1
973,2017-03-10,68.17,68.1,68.5,67.08,,0.0013,1
974,2017-03-09,68.08,68.72,68.97,67.55,26670.0,-0.005,-1
975,2017-03-08,68.42,68.15,68.67,67.9,25000.0,0.0054,1
976,2017-03-07,68.05,67.4,68.4,66.95,24700.0,0.0131,1
977,2017-03-06,67.17,67.28,68.17,66.8,15330.0,0.0063,1
978,2017-03-03,66.75,68.0,68.0,66.58,20210.0,-0.022400000000000003,-1
979,2017-03-02,68.28,68.55,69.62,68.1,24240.0,-0.002,-1
980,2017-03-01,68.42,68.25,68.9,67.53,22080.0,0.0121,1
