Date,Price,Open,High,Low,Vol.,Change %,direction
2017-08-15,921.88,932.62,934.25,920.38,,-0.012,-1
2017-08-14,933.12,929.62,934.38,924.88,,-0.0053,-1
2017-08-11,938.12,935.12,939.50,930.38,,0.0048,1
2017-08-10,933.62,966.38,980.38,932.12,,-0.0329,-1
2017-08-09,965.38,966.88,971.12,960.38,,-0.001,-1
2017-08-08,966.38,966.38,973.75,963.88,,0.0029,1
2017-08-07,963.62,957.75,966.62,955.88,,0.0125,1
2017-08-04,951.75,953.62,959.50,949.88,,-0.0017000000000000001,-1
2017-08-03,953.38,969.12,969.62,948.88,,-0.0175,-1
2017-08-02,970.38,964.50,973.38,963.12,,0.006500000000000001,1
2017-08-01,964.12,988.50,992.62,964.12,,-0.034300000000000004,-1
2017-07-31,998.38,994.88,"1,001.62",987.38,,-0.0017000000000000001,-1
2017-07-28,"1,000.12",992.88,"1,007.38",989.62,,0.0053,1
2017-07-27,994.88,991.62,"1,000.62",987.38,,0.0060999999999999995,1
2017-07-26,988.88,980.38,991.12,973.38,,0.0079,1
2017-07-25,981.12,"1,012.88","1,022.38",981.12,,-0.0168,-1
2017-07-24,997.88,999.38,999.38,985.88,,-0.011399999999999999,-1
2017-07-21,"1,009.38","1,011.12","1,013.38","1,001.88",,-0.0034999999999999996,-1
2017-07-20,"1,012.88",999.62,"1,017.38",995.12,,0.013000000000000001,1
2017-07-19,999.88,991.88,"1,004.62",984.38,,0.0104,1
2017-07-18,989.62,998.12,"1,004.12",986.00,,0.0040999999999999995,1
2017-07-17,985.62,988.88,995.38,981.62,,-0.003,-1
2017-07-14,988.62,975.38,992.00,972.12,,0.0138,1
2017-07-13,975.12,"1,014.88","1,015.38",974.88,,-0.0446,-1
2017-07-12,"1,020.62","1,026.12","1,031.12","1,010.62",,-0.0085,-1
2017-07-11,"1,029.38","1,027.12","1,032.62","1,008.12",,0.0044,1
2017-07-10,"1,024.88","1,013.12","1,029.38","1,013.12",,0.023700000000000002,1
2017-07-07,"1,001.12",985.12,"1,003.38",982.62,,0.0147,1
2017-07-06,986.62,983.88,987.38,973.88,,0.0043,1
2017-07-05,982.38,982.50,986.38,969.12,,0.0108,1
2017-07-03,971.88,956.62,980.62,956.12,,0.0248,1
2017-06-30,948.38,920.38,950.38,917.62,,0.0302,1
2017-06-29,920.62,919.38,932.38,919.12,,0.0022,1
2017-06-28,918.62,916.38,922.12,915.88,,0.003,1
2017-06-27,915.88,913.62,922.38,913.62,,0.0044,1
2017-06-26,911.88,909.12,916.38,908.25,,0.0083,1
