Date,Price,Open,High,Low,Vol.,Change %,direction
2016-12-21,399.5,402.75,404.5,399.25,,-0.0087,-1
2016-12-20,403.0,406.0,407.75,400.5,,-0.005600000000000001,-1
2016-12-19,405.25,412.5,413.25,403.25,,-0.0086,-1
2016-12-16,408.75,408.5,410.5,404.75,,-0.0006,-1
2016-12-15,409.0,417.75,418.0,408.75,,-0.022099999999999998,-1
2016-12-14,418.25,416.5,418.25,413.25,,0.0006,1
2016-12-13,418.0,416.62,420.75,414.5,,0.003,1
2016-12-12,416.75,415.25,416.75,408.75,,0.0018,1
2016-12-09,416.0,409.25,416.38,404.0,,0.0202,1
2016-12-08,407.75,402.38,409.25,402.0,,0.016200000000000003,1
2016-12-07,401.25,406.75,407.5,399.75,,-0.0141,-1
2016-12-06,407.0,409.5,413.0,406.25,,-0.0037,-1
2016-12-05,408.5,405.25,410.0,404.75,,0.013600000000000001,1
2016-12-02,403.0,397.75,403.0,396.75,,0.0183,1
2016-12-01,395.75,403.75,404.5,393.25,,-0.018000000000000002,-1
2016-11-30,403.0,409.5,414.0,403.0,,-0.0129,-1
2016-11-29,408.25,415.25,415.5,408.0,,-0.0233,-1
2016-11-28,418.0,420.5,421.25,414.5,,0.0536,1
2016-11-25,396.75,401.62,403.5,396.75,,-0.0118,-1
2016-11-23,401.5,407.0,407.25,396.62,,-0.011699999999999999,-1
2016-11-22,406.25,410.5,411.75,406.25,,-0.011000000000000001,-1
2016-11-21,410.75,409.0,412.0,404.75,,0.0049,1
2016-11-18,408.75,403.0,410.0,400.5,,0.013600000000000001,1
2016-11-17,403.25,398.25,406.25,396.75,,0.015700000000000002,1
2016-11-16,397.0,400.0,401.0,397.0,,-0.005,-1
2016-11-15,399.0,394.75,402.0,393.0,,0.0127,1
2016-11-14,394.0,403.5,403.75,392.75,,-0.0199,-1
2016-11-11,402.0,405.75,407.5,401.25,,-0.0074,-1
2016-11-10,405.0,408.5,414.25,402.5,,-0.0067,-1
