Date,Price,Open,High,Low,Vol.,Change %,direction
2018-04-09,112.025,112.975,113.975,111.975,4630.0,-0.0018,-1
2018-04-06,112.225,114.0,114.15,111.95,8580.0,-0.0182,-1
2018-04-05,114.3,113.7,114.45,113.3,9460.0,0.0113,1
2018-04-04,113.025,111.6,113.9,110.1,12130.0,0.009399999999999999,1
2018-04-03,111.975,112.65,113.35,111.775,9610.0,-0.0038,-1
2018-04-02,112.4,113.775,114.8,112.2,8970.0,-0.011899999999999999,-1
2018-03-29,113.75,116.2,116.975,113.15,10930.0,-0.0194,-1
2018-03-28,116.0,115.45,116.425,114.825,8790.0,0.005,1
2018-03-27,115.425,115.4,116.575,115.0,9250.0,0.0022,1
2018-03-26,115.175,116.225,117.2,114.8,9450.0,-0.0075,-1
2018-03-23,116.05,118.425,118.425,115.75,13260.0,-0.0178,-1
2018-03-22,118.15,117.95,118.425,117.45,13620.0,0.0038,1
2018-03-21,117.7,119.6,119.75,117.15,23690.0,-0.015700000000000002,-1
2018-03-20,119.575,120.5,120.825,119.325,20730.0,-0.0054,-1
2018-03-19,120.225,121.75,121.8,120.125,21520.0,-0.0085,-1
2018-03-16,121.25,121.925,122.15,120.875,21810.0,-0.0049,-1
2018-03-15,121.85,123.075,123.825,121.125,29170.0,-0.009300000000000001,-1
2018-03-14,123.0,123.0,124.3,122.775,34270.0,0.009000000000000001,1
2018-03-13,121.9,121.75,122.575,120.75,37720.0,0.0029,1
2018-03-12,121.55,123.3,123.475,121.275,37160.0,-0.0128,-1
2018-03-09,123.125,122.125,123.525,121.125,43310.0,0.0111,1
2018-03-08,121.775,123.225,123.3,120.9,45590.0,-0.0098,-1
2018-03-07,122.975,123.0,123.675,122.6,29370.0,0.0012,1
2018-03-06,122.825,123.325,124.825,122.45,33900.0,-0.0032,-1
2018-03-05,123.225,122.35,123.675,122.1,26790.0,0.0086,1
2018-03-02,122.175,123.35,123.8,121.9,31140.0,-0.009300000000000001,-1
2018-03-01,123.325,123.65,123.9,122.325,33810.0,-0.0327,-1
2018-02-28,127.5,128.35,129.775,127.5,830.0,-0.0040999999999999995,-1
2018-02-27,128.025,127.6,128.7,127.525,1370.0,0.0049,1
2018-02-26,127.4,127.775,127.925,126.65,1760.0,-0.004699999999999999,-1
2018-02-23,128.0,128.45,128.575,127.325,1500.0,-0.0027,-1
2018-02-22,128.35,129.0,129.15,128.075,1670.0,-0.01,-1
2018-02-21,129.65,130.3,130.3,127.3,6370.0,-0.005,-1
2018-02-20,130.3,130.525,130.525,129.775,2630.0,0.0015,1
2018-02-16,130.1,129.225,130.325,128.725,4440.0,0.0064,1
2018-02-15,129.275,127.875,129.425,127.525,2650.0,0.0127,1
2018-02-14,127.65,127.1,128.0,127.05,2080.0,0.006500000000000001,1
2018-02-13,126.825,127.35,127.925,126.725,1860.0,-0.0024,-1
2018-02-12,127.125,126.525,127.25,126.125,3030.0,0.004699999999999999,1
2018-02-09,126.525,125.725,127.0,125.425,4300.0,0.006,1
2018-02-08,125.775,125.775,127.325,125.425,2550.0,0.0014000000000000002,1
2018-02-07,125.6,125.85,126.575,125.55,2740.0,-0.0002,-1
2018-02-06,125.625,125.375,126.425,125.125,2910.0,-0.004,-1
2018-02-05,126.125,126.3,127.9,125.9,6100.0,-0.005699999999999999,-1
2018-02-02,126.85,126.425,127.55,125.75,6660.0,0.0034000000000000002,1
2018-02-01,126.425,124.6,126.825,124.25,12160.0,0.0208,1
2018-01-31,123.85,124.825,124.95,123.675,9380.0,-0.0078000000000000005,-1
2018-01-30,124.825,125.4,125.625,123.55,12260.0,-0.006999999999999999,-1
2018-01-29,125.7,126.025,126.75,125.45,11150.0,0.0088,1
2018-01-26,124.6,122.425,125.0,122.225,10580.0,0.0174,1
2018-01-25,122.475,125.525,126.025,122.425,16350.000000000002,-0.0235,-1
2018-01-24,125.425,125.0,125.675,124.8,11800.0,0.005600000000000001,1
2018-01-23,124.725,123.75,124.95,123.35,11870.0,0.0095,1
2018-01-22,123.55,122.85,123.85,122.8,12460.0,0.013500000000000002,1
2018-01-19,121.9,122.05,122.675,120.875,16920.0,-0.0004,-1
2018-01-18,121.95,121.325,122.1,121.025,15520.0,0.008100000000000001,1
2018-01-17,120.975,117.825,121.1,117.7,32590.000000000004,0.024300000000000002,1
2018-01-16,118.1,117.45,118.4,117.375,22440.0,0.0062,1
2018-01-12,117.375,117.1,117.5,116.55,31770.0,0.0026,1
